Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
201,SR6DKB,438.262500,-,7.600000,,88.5,88.5,DV,12.5,Krapkowice
203,SR6DST,145.687500,-,0.600000,Tone,123.0,123.0,FM,12.5,Strzelin, Wieża Ciśnień
204,SR6DWS,438.462500,-,7.600000,,88.5,88.5,DV,12.5,Wielka Sowa
205,SR6G,145.625000,-,0.600000,Tone,94.8,94.8,FM,12.5,Góra Ślęża EMITEL
206,SR6GL,438.750000,-,7.600000,,88.5,88.5,FM,12.5,Głubczyce
207,SR6J,145.675000,-,0.600000,Tone,67.0,67.0,FM,12.5,Góra Szrenica/Szklarska Poręba
208,SR6JG,438.675000,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Kopa/Karpacz
209,SR6K,145.737500,-,0.600000,,88.5,88.5,FM,12.5,Jugów
210,SR6LWS,439.287500,-,7.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
211,SR6LZM,438.600000,-,7.600000,Tone,103.5,103.5,FM,12.5,Żmigród
212,SR6MA,438.725000,-,7.600000,Tone,94.8,88.5,FM,12.5,Góra Ślęża EMITEL
213,SR6MI,439.337500,-,7.600000,Tone,67.0,88.5,FM,12.5,Miłkowice
214,SR6MRU,439.300000,-,7.600000,,88.5,88.5,FM,12.5,Wrocław
215,SR6NR,439.425000,-,7.600000,Tone,94.8,88.5,FM,12.5,Nowa Ruda-Słupiec
216,SR6OA,438.875000,-,7.600000,Tone,123.0,123.0,FM,12.5,Oława
217,SR6OO,439.250000,-,7.600000,Tone,123.0,123.0,FM,12.5,Olesno
218,SR6OP,439.325000,-,7.600000,Tone,94.8,94.8,FM,12.5,Opole
219,SR6PS,438.800000,-,7.600000,Tone,94.8,94.8,FM,12.5,Świdnica
220,SR6R,145.600000,-,0.600000,Tone,103.5,103.5,FM,12.5,Wrocław
222,SR6S,145.787500,-,0.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
223,SR6TT,439.225000,-,7.600000,Tone,67.0,67.0,FM,12.5,59-420 BOLKÓW STARE ROCHOWICE 116
224,SR6TW,438.750000,-,7.600000,,88.5,88.5,DV,12.5,Chełstów
225,SR6UKB,439.262500,-,7.600000,Tone,94.8,94.8,FM,12.5,Kopa Biskupia
227,SR6UVO,439.387500,-,7.600000,Tone,94.8,94.8,FM,12.5,Elektrownia Opole, Brzezie k/Opola
228,SR6UVW,439.012500,-,7.600000,,88.5,88.5,DV,12.5,Wrocław - Dom Akademicki
229,SR6UVX,439.412500,-,7.600000,Tone,103.5,88.5,FM,12.5,Żmigród
230,SR6UVY,439.212500,-,7.600000,,88.5,88.5,FM,12.5,Oława
231,SR6W,145.662500,-,0.600000,Tone,94.8,94.8,FM,12.5,Wałbrzych
232,SR6WB,439.362500,-,7.600000,Tone,94.8,88.5,FM,12.5,Wałbrzych
233,SR6WR,438.850000,-,7.600000,Tone,103.5,103.5,FM,12.5,Wrocław
234,SR6WS,438.925000,-,7.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
235,SR6WY,439.075000,-,7.600000,Tone,71.9,71.9,FM,12.5,Wysoka k. Góry Św Anny
237,SR7ABZ,145.275000,-,0.600000,Tone,88.5,88.5,FM,12.5,Busko-Zdrój
238,SR7DBZ,438.562500,-,7.600000,,88.5,88.5,FM,12.5,Busko-Zdroj
243,SR7E,145.762500,-,0.600000,Tone,77.0,77.0,FM,12.5,Bełchatów
246,SR7KGO,145.275000,split,433.250000,Tone,88.5,88.5,FM,12.5,Busko-Zdrój
247,SR7KI,438.725000,-,7.600000,Tone,88.5,88.5,FM,12.5,RTCN Święty Krzyż EmiTel - Łysa Góra/Nowa Słupia
248,SR7KU,438.925000,-,7.600000,Tone,82.5,88.5,FM,12.5,Kutno
249,SR7L,145.675000,-,0.600000,Tone,77.0,88.5,FM,12.5,Łódź
250,SR7LD,439.075000,-,7.600000,Tone,77.0,77.0,FM,12.5,Łódź
253,SR7LDZ,438.350000,-,7.600000,Tone,77.0,77.0,FM,12.5,Łódź
256,SR7OS,439.475000,-,7.600000,Tone,71.9,71.9,FM,12.5,Ostrowiec Świętokrzyski
257,SR7PB,438.650000,-,7.600000,,88.5,118.8,FM,12.5,Bałtów
259,SR7SI,438.825000,-,7.600000,Tone,77.0,77.0,FM,12.5,Sieradz
260,SR7ST,439.150000,-,7.600000,Tone,110.9,110.9,FM,12.5,Staszów - wieża   Polkomtel Sp. z o.o. - Plus
262,SR7TCW,438.125000,split,145.300000,,88.5,88.5,FM,12.5,Złota
263,SR7TM,438.675000,-,7.600000,Tone,118.8,118.8,FM,12.5,Tomaszów Mazowiecki
264,SR7UAL,438.650000,-,7.600000,,88.5,88.5,DV,12.5,Łódź
266,SR7UTM,439.100000,-,7.600000,,88.5,88.5,DV,12.5,Tomaszów Mazowiecki
267,SR7UVK-B,439.125000,-,7.600000,,88.5,88.5,DV,12.5,Łysa Góra/Nowa Słupia - RTCN Święty Krzyż EmiTel
268,SR7UVL-B,439.450000,-,7.600000,,88.5,88.5,DV,12.5,Łódź
269,SR7UVV,439.487500,-,7.600000,,88.5,88.5,DV,12.5,Góra Kamieńsk wieża EmiTel
270,SR7UWI,438.525000,-,7.600000,,88.5,88.5,DV,12.5,Czastary
271,SR7V,145.625000,-,0.600000,Tone,88.5,88.5,FM,12.5,RTCN Święty Krzyż EmiTel - Łysa Góra/Nowa Słupia
272,SR7VV,439.112500,-,7.600000,Tone,77.0,77.0,FM,12.5,Góra Kamieńsk wieża EmiTel
273,SR7WI,439.000000,-,7.600000,,88.5,88.5,FM,12.5,Działoszyn
274,SR7Z,145.600000,-,0.600000,Tone,77.0,88.5,FM,12.5,Łódź
275,SR7ZD,438.900000,-,7.600000,Tone,77.0,88.5,FM,12.5,Zduńska Wola
276,SR8AGA,439.350000,-,7.600000,Tone,103.5,88.5,FM,12.5,Domaradz
277,SR8AVB,439.012500,-,7.600000,,88.5,88.5,DV,12.5,Biała Podlaska
278,SR8B,145.787500,-,0.600000,Tone,71.9,71.9,FM,12.5,Leżajsk
279,SR8BB,438.875000,-,7.600000,Tone,103.5,103.5,FM,12.5,Bereżnica Wyżna
280,SR8BD,438.875000,-,7.600000,Tone,103.5,103.5,FM,12.5,Biała Podlaska Pec
281,SR8BP,438.650000,-,7.600000,Tone,79.7,79.7,FM,12.5,Chotycze / Łosice
282,SR8CH,438.675000,-,7.600000,Tone,77.0,77.0,FM,12.5,Chełm
283,SR8D,145.650000,-,0.600000,Tone,79.7,79.7,FM,12.5,Chotycze / Łosice
284,SR8DE,439.300000,-,7.600000,Tone,103.5,88.5,FM,12.5,Dębica
285,SR8DEF,438.425000,-,7.600000,Tone,103.5,88.5,FM,12.5,Dębica
288,SR8DU,439.000000,-,7.600000,Tone,71.9,71.9,FM,12.5,Drohobyczka-Dubiecko
290,SR8ET,439.200000,-,7.600000,Tone,71.9,71.9,FM,12.5,Sanok - Urząd Miasta
292,SR8J,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Jarosław
293,SR8JR,439.250000,-,7.600000,Tone,67.0,67.0,FM,12.5,Jarosław
294,SR8JS,438.800000,-,7.600000,,88.5,103.5,FM,12.5,Jasło - Góra Liwocz
295,SR8K,145.600000,-,0.600000,Tone,71.9,71.9,FM,12.5,Drohobyczka-Dubiecko
296,SR8KP,439.575000,-,7.600000,Tone,71.9,71.9,FM,12.5,Leżajsk-Giedlarowa
297,SR8L,145.675000,-,0.600000,Tone,67.0,67.0,FM,12.5,RTCN Lublin / Boży Dar (Emitel)
298,SR8LBD,438.575000,-,7.600000,Tone,77.0,77.0,FM,12.5,RTCN Lublin / Boży Dar (Emitel)
299,SR8LKR,438.550000,-,7.600000,Tone,67.0,67.0,FM,12.5,Kraśnik
300,SR8LLB,439.250000,-,7.600000,Tone,77.0,77.0,FM,12.5,Lubartów
301,SR8LSW,439.025000,-,7.600000,Tone,110.9,110.9,FM,12.5,Świdnik
302,SR8LU,439.050000,-,7.600000,Tone,67.0,67.0,FM,12.5,Lublin
304,SR8LW,438.700000,-,7.600000,Tone,67.0,67.0,FM,12.5,Łuków (Zbożowa 2)
305,SR8MBR,50.540000,split,432.600000,Tone,71.9,71.9,FM,12.5,Tyczyn, Lasek
306,SR8NP,145.762500,-,0.600000,,88.5,186.2,FM,12.5,Przemyśl
307,SR8PL,439.087500,-,7.600000,Tone,118.8,118.8,FM,12.5,Kazimierz Dolny
308,SR8PPN,438.900000,-,7.600000,Tone,67.0,67.0,FM,12.5,gm. Urszulin
309,SR8PU,438.850000,-,7.600000,Tone,118.8,118.8,FM,12.5,Kazimierz Dolny
310,SR8R,145.675000,-,0.600000,Tone,71.9,88.5,FM,12.5,Rzeszów
312,SR8RSC,145.287500,+,0.000000,Tone,71.9,71.9,FM,12.5,Boguchwała
313,SR8S,145.712500,-,0.600000,Tone,123.0,123.0,FM,12.5,Świdnik
314,SR8SD,439.325000,-,7.600000,Tone,123.0,123.0,FM,12.5,Świdnik
315,SR8TPM,145.337500,+,0.000000,Tone,71.9,71.9,FM,12.5,
316,SR8U,145.687500,-,0.600000,,88.5,88.5,FM,12.5,Baligród
317,SR8UVB,439.412500,-,7.600000,,88.5,88.5,DV,12.5,Chotycze - RTCN Łosice
318,SR8UVL,438.825000,-,7.600000,,88.5,88.5,DV,12.5,Lublin
319,SR8UVP,439.462500,-,7.600000,,88.5,88.5,DV,12.5,Kazimierz Dolny
320,SR8UVS,438.325000,-,7.600000,,88.5,88.5,DV,12.5,Świdnik
321,SR8UWD,438.512500,-,7.600000,,88.5,88.5,DV,12.5,Włodawa
322,SR8V,145.612500,-,0.600000,Tone,103.5,88.5,FM,12.5,Jasło
323,SR8WD,438.975000,-,7.600000,Tone,103.5,103.5,FM,12.5,Włodawa
324,SR8Z,145.750000,-,0.600000,Tone,77.0,77.0,FM,12.5,Feliksówka k/Zamościa
325,SR8ZA,439.275000,-,7.600000,Tone,77.0,77.0,FM,12.5,Feliksówka k/Zamościa
326,SR9A,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Góra Wał - Tarnów
328,SR9AE,438.825000,-,7.600000,Tone,103.5,103.5,FM,12.5,Obserwatorium astronomiczne na Górze Lubomir
329,SR9ASR,438.300000,-,7.600000,Tone,74.4,74.4,FM,12.5,Góra Żar
331,SR9BSR,438.250000,-,7.600000,Tone,74.4,88.5,FM,12.5,Góra Szyndzielnia
332,SR9CZ,439.175000,-,7.600000,,88.5,88.5,DV,12.5,Częstochowa
333,SR9CZE,439.562500,-,7.600000,Tone,67.0,67.0,FM,12.5,Częstochowa
340,SR9E,145.725000,-,0.600000,Tone,71.9,71.9,FM,12.5,Siemianowice Śląskie
341,SR9GC,438.925000,-,7.600000,,88.5,88.5,FM,12.5,Gliwice
342,SR9GR,438.537500,-,7.600000,Tone,162.2,162.2,FM,12.5,Gorlice, maszt Emitel na Górze Cmentarnej
343,SR9J,145.787500,-,0.600000,Tone,123.0,123.0,FM,12.5,Częstochowa
344,SR9JK,438.800000,-,7.600000,Tone,94.8,88.5,FM,12.5,Włodowice
345,SR9K,145.750000,-,0.600000,Tone,103.5,88.5,FM,12.5,Siercza k/Wieliczki
346,SR9KD,438.950000,-,7.600000,Tone,71.9,88.5,FM,12.5,Sosnowiec
347,SR9KM,438.975000,-,7.600000,Tone,71.9,71.9,FM,12.5,Krupski Młyn
348,SR9KR,439.275000,-,7.600000,,88.5,88.5,DV,12.5,Kraków
349,SR9KS,438.900000,-,7.600000,Tone,103.5,103.5,FM,12.5,Siercza k/Wieliczki
350,SR9L,145.687500,-,0.600000,Tone,107.2,107.2,FM,12.5,Limanowa Lipowe
351,SR9LC,438.700000,-,7.600000,Tone,71.9,71.9,FM,12.5,LUBECKO
352,SR9LI,438.675000,-,7.600000,,88.5,88.5,FM,12.5,Pasierbiec
353,SR9NJ,438.700000,-,7.600000,Tone,103.5,103.5,FM,12.5,Krynica Zdrój, Jaworzyna (górna stacja kolejki gondolowej
354,SR9NP,438.937500,-,7.600000,Tone,107.2,107.2,FM,12.5,Prehyba
355,SR9NS,439.225000,-,7.600000,Tone,107.2,107.2,FM,12.5,Nowy Sącz
356,SR9OA,438.750000,-,7.600000,Tone,107.2,88.5,FM,12.5,Wieża widokowa Dąbrowa
357,SR9P,145.662500,-,0.600000,Tone,103.5,88.5,FM,12.5,Góra Koskowa POLKOMTEL
358,SR9PC,438.850000,-,7.600000,Tone,103.5,88.5,FM,12.5,Góra Koskowa POLKOMTEL
359,SR9PS,439.250000,-,7.600000,Tone,67.0,67.0,FM,12.5,Pszów
360,SR9RAC,439.575000,-,7.600000,Tone,67.0,67.0,FM,12.5,Strzybniczek
363,SR9S,145.775000,-,0.600000,Tone,67.0,67.0,FM,12.5,Wola
364,SR9SC,438.962500,-,7.600000,Tone,67.0,67.0,FM,12.5,Cieszyn
365,SR9SK,439.375000,-,7.600000,Tone,67.0,67.0,FM,12.5,Skrzyczne
366,SR9SS,439.100000,-,7.600000,Tone,71.9,71.9,FM,12.5,Siemianowice Śląskie
368,SR9TB,438.775000,-,7.600000,Tone,103.5,103.5,FM,12.5,Góra Wał - Tarnów
369,SR9TM,438.512500,-,7.600000,Tone,103.5,103.5,FM,12.5,Pcim - Kudłacze
