number;valid_to;call_sign;category;transmitter_power;name_type_station;emission;input_frequency;output_frequency;station_location
DC.WML.5101.4852.2022.2;2027-11-28;SR9LC;Kategoria5;15;PrzekaznikAPRS, PrzemiennikFMDV;"";144.8, 145, 431.1;144.8, 145.6, 438.7;Lubecko
DC.WML.5101.4864.2022.2;2027-11-28;SR5LOM;Kategoria5;15;AnalogowyPrzemiennikFM;"";1270.4;1298.4;£omianki
DC.WML.5101.4869.2022.2;2027-11-29;SR5WBR;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Falêcice
DC.WML.5101.4955.2022.2;2027-12-14;SR3DSE;Kategoria5;15;CyfrowyPrzemiennik;"";431.1375;438.7375;Œrem
DC.WML.5101.5258.2022.2;2027-12-20;SR9PJD;Kategoria5;15;PrzemiennikFMDV;"";431.8;439.4;Gliwice
DC.WML.5101.5107.2022.2;2027-12-20;SR5GM;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.625;439.225;Grodzisk Mazowiecki
DC.WML.5101.5357.2022.2;2027-12-29;SR1YWX;Kategoria5;15;CyfrowyPrzemiennik;"";431.6625;439.2625;Szczecin
DC.WML.5101.13.2023.2;2028-01-03;SR2PA;Kategoria5;15;CyfrowyPrzemiennik;"";431.7;439.3;Pas³êk
DC.WML.5101.37.2023.2;2028-01-04;SR7LDD;Kategoria5;15;PrzemiennikFMDV;"";430.625;438.225;£ódŸ
DC.WML.5101.153.2023.2;2028-01-10;SR4APRS;Kategoria5;15;CyfrowyPrzekaznik;"";432.5, 144.8;432.5, 144.8;Ignatki-Osiedle
DC.WML.5101.174.2023.2;2028-01-11;SR6BOX;Kategoria5;15;CyfrowaStacjaWezlowa;"";5675, 2397, 2392.25, 432.5, 431.525, 144.95, 144.925, 144.875, 144.8;5675, 2397, 2392.25, 432.5, 431.525, 144.95, 144.925, 144.875, 144.8;Wroc³aw
DC.WML.5101.177.2023.2;2028-01-11;SR4UG;Kategoria5;15;CyfrowyPrzemiennik;"";431.175;438.775;Giby
DC.WML.5101.178.2023.2;2028-01-11;SR4OE;Kategoria5;15;CyfrowyPrzemiennik;"";431.8;439.4;Olecko
DC.WML.5101.300.2023.2;2028-01-17;SR4OS;Kategoria5;15;CyfrowyPrzemiennik;"";430.8;438.4;Ostróda
DC.WML.5101.328.2023.2;2028-01-19;SR9CZE;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.9625;439.5625;Czêstochowa
DC.WML.5101.392.2023.2;2028-01-25;SR1DSZ;Kategoria5;15;CyfrowyPrzemiennik;"";144.9;144.9;Szczecin
DC.WML.5101.393.2023.2;2028-01-25;SR1DXZ;Kategoria5;15;CyfrowyPrzemiennik;"";144.9;144.9;Szczecin
DC.WML.5101.394.2023.2;2028-01-25;SR1WXZ;Kategoria5;15;CyfrowyPrzemiennik;"";144.9, 144.8;144.9, 144.8;Szczecin
