Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,Skip,Step,Mask,Attenuator,Comment,IPO,
1016,434.6,432.6,2.000000,Minus,FM,OZ5REJ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1017,145.7375,145.1375,0.600000,Minus,FM,OZ5REJ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1018,434.925,432.925,2.000000,Minus,FM,OZ5REO,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1019,434.825,432.825,2.000000,Minus,FM,OZ5REQ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1020,434.85,432.85,2.000000,Minus,FM,OZ5REU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1021,434.875,432.875,2.000000,Minus,FM,OZ5REW,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1022,434.7875,432.7875,2.000000,Minus,FM,OZ6REC,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1023,145.6125,145.0125,0.600000,Minus,FM,OZ6RED,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1024,434.75,432.75,2.000000,Minus,FM,OZ6REE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1025,434.875,432.875,2.000000,Minus,FM,OZ6REH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1026,434.625,432.625,2.000000,Minus,FM,OZ6REJ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1027,434.95,432.95,2.000000,Minus,FM,OZ6RET,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1028,51.95,51.35,0.600000,Minus,FM,OZ6REU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1029,145.775,145.175,0.600000,Minus,FM,OZ6REV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1030,145.65,145.05,0.600000,Minus,FM,OZ6REX/R,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1031,145.75,145.15,0.600000,Minus,FM,OZ7REF,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1032,145.7375,145.1375,0.600000,Minus,FM,OZ7REP,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1033,145.6,145,0.600000,Minus,FM,OZ7RER,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1034,434.675,432.675,2.000000,Minus,FM,OZ7REU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1035,51.83,51.23,0.600000,Minus,FM,OZ7REZ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1036,434.9,432.9,2.000000,Minus,FM,OZ8REA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1037,434.675,432.675,2.000000,Minus,FM,OZ8REB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1038,434.8,432.8,2.000000,Minus,FM,OZ8REG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1039,434.8,432.8,2.000000,Minus,FM,OZ8REH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1040,434.9,432.9,2.000000,Minus,FM,OZ8REL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1041,434.6375,432.6375,2.000000,Minus,FM,OZ8RES/R,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1042,51.97,51.37,0.600000,Minus,FM,OZ8REY,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1043,434.6,432.6,2.000000,Minus,FM,OZ9REB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1044,145.7,145.1,0.600000,Minus,FM,OZ9REB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1045,145.675,145.075,0.600000,Minus,FM,OZ9REG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1046,145.725,145.125,0.600000,Minus,FM,OZ9REH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1047,434.825,432.825,2.000000,Minus,FM,OZ9REH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1048,434.925,432.925,2.000000,Minus,FM,OZ9REI,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1049,434.65,432.65,2.000000,Minus,FM,OZ9REL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1050,434.775,432.775,2.000000,Minus,FM,OZ9REO,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1051,434.65,432.65,2.000000,Minus,FM,OZ9REP,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1052,434.825,432.825,2.000000,Minus,FM,OZ9RER,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1053,145.7375,145.1375,0.600000,Minus,FM,OZ9RES,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1054,145.7375,145.1375,0.600000,Minus,FM,OZ9REU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1055,145.6125,145.0125,0.600000,Minus,FM,OZ9REV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1056,145.7,145.1,0.600000,Minus,FM,OZ9REX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1057,434.6,432.6,2.000000,Minus,FM,OZ9REX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1058,434.8,432.8,2.000000,Minus,FM,OZ9REZ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1059,438.7375,431.1375,7.600000,Minus,FM,PD3LKN,On,Tone,110.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1060,430.375,431.975,1.600000,Plus,FM,PI2ALK,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1061,430.0625,431.6625,1.600000,Plus,FM,PI2ALW,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1062,430.25,431.85,1.600000,Plus,FM,PI2AMF,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1063,430.05,431.65,1.600000,Plus,FM,PI2ANH,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1064,430.15,431.75,1.600000,Plus,FM,PI2APD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1065,430.2,431.8,1.600000,Plus,FM,PI2ASD,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1066,430.05,431.65,1.600000,Plus,FM,PI2ASN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1067,430.025,431.625,1.600000,Plus,FM,PI2BOZ,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1068,430.325,431.925,1.600000,Plus,FM,PI2BRD,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1069,430.3625,431.9625,1.600000,Plus,FM,PI2DEC,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1070,430.0875,431.6875,1.600000,Plus,FM,PI2DFT,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1071,430.1,431.7,1.600000,Plus,FM,PI2EHV,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1072,430.2875,431.8875,1.600000,Plus,FM,PI2FLD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1073,430.0125,431.6125,1.600000,Plus,FM,PI2GOR,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1074,430.2375,431.8375,1.600000,Plus,FM,PI2GRO,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1075,430.35,431.95,1.600000,Plus,FM,PI2HGL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1076,430.25,431.85,1.600000,Plus,FM,PI2HLM,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1077,430.025,431.625,1.600000,Plus,FM,PI2HVN,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1078,438.875,431.275,7.600000,Minus,FM,PI2HWD,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1079,430.0625,431.6625,1.600000,Plus,FM,PI2JUT,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1080,430.175,431.775,1.600000,Plus,FM,PI2KMP,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1081,430.075,431.675,1.600000,Plus,FM,PI2MEP,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1082,430.0625,431.6625,1.600000,Plus,FM,PI2NEN,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1083,430.2,431.8,1.600000,Plus,FM,PI2NLB,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1084,430.3125,431.9125,1.600000,Plus,FM,PI2NMG,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1085,430.325,431.925,1.600000,Plus,FM,PI2NOG,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1086,430.125,431.725,1.600000,Plus,FM,PI2NOS,On,Tone,192.8 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1087,430.2625,431.8625,1.600000,Plus,FM,PI2NOV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1088,430.2625,431.8625,1.600000,Plus,FM,PI2RDH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1089,430.3625,431.9625,1.600000,Plus,FM,PI2RMD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1090,430.3,431.9,1.600000,Plus,FM,PI2RTD,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1091,430.175,431.775,1.600000,Plus,FM,PI2SHB,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1092,430.225,431.825,1.600000,Plus,FM,PI2SWK,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1093,430.225,431.825,1.600000,Plus,FM,PI2TWE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1094,430.2125,431.8125,1.600000,Plus,FM,PI2TWR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1095,430.3375,431.9375,1.600000,Plus,FM,PI2VLI,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1096,430.35,431.95,1.600000,Plus,FM,PI2VNR,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1097,430.15,431.75,1.600000,Plus,FM,PI2WSN,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1098,430.0125,431.6125,1.600000,Plus,FM,PI2YSS,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1099,430.0375,431.6375,1.600000,Plus,FM,PI2ZAZ,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1100,430.075,431.675,1.600000,Plus,FM,PI2ZST,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1101,145.6,145,0.600000,Minus,FM,PI3ALK,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1102,145.7625,145.1625,0.600000,Minus,FM,PI3ALM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1103,145.625,145.025,0.600000,Minus,FM,PI3AMF,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1104,145.725,145.125,0.600000,Minus,FM,PI3APD,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1105,145.775,145.175,0.600000,Minus,FM,PI3ASD,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1106,145.625,145.025,0.600000,Minus,FM,PI3BOZ,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1107,145.65,145.05,0.600000,Minus,FM,PI3BRD,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1108,145.7,145.1,0.600000,Minus,FM,PI3DTC,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1109,145.7,145.1,0.600000,Minus,FM,PI3EHV,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1110,145.7375,145.1375,0.600000,Minus,FM,PI3FLD,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1111,145.6375,145.0375,0.600000,Minus,FM,PI3FRL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1112,145.775,145.175,0.600000,Minus,FM,PI3GOE,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1113,145.75,145.15,0.600000,Minus,FM,PI3GRN,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1114,145.7,145.1,0.600000,Minus,FM,PI3HVN,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1115,145.65,145.05,0.600000,Minus,FM,PI3MEP,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1116,145.6125,145.0125,0.600000,Minus,FM,PI3NOG,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1117,145.675,145.075,0.600000,Minus,FM,PI3NOV,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1118,145.75,145.15,0.600000,Minus,FM,PI3NYM,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1119,145.75,145.15,0.600000,Minus,FM,PI3RAZ,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1120,145.675,145.075,0.600000,Minus,FM,PI3RTD,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1121,145.6,145,0.600000,Minus,FM,PI3SRT,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1122,145.6,145,0.600000,Minus,FM,PI3TWE,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1123,145.6875,145.0875,0.600000,Minus,FM,PI3VHP,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1124,145.6625,145.0625,0.600000,Minus,FM,PI3VLI,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1125,145.6875,145.0875,0.600000,Minus,FM,PI3YMD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1126,145.6375,145.0375,0.600000,Minus,FM,PI3YSS,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1127,145.7125,145.1125,0.600000,Minus,FM,PI3ZAZ,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1128,145.725,145.125,0.600000,Minus,FM,PI3ZLB,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1129,145.625,145.025,0.600000,Minus,FM,PI3ZOD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1130,145.6,145,0.600000,Minus,FM,PI3ZVL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1131,1298.5,1270.5,28.000000,Minus,FM,PI6AMF,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1132,1296.6375,432.5375,864.100000,Minus,FM,PI6ASD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1133,1298.575,1270.575,28.000000,Minus,FM,PI6ASN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1134,1298.4,1270.4,28.000000,Minus,FM,PI6EHN,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1135,1298.2,1270.2,28.000000,Minus,FM,PI6HGL,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1136,1298.7,1270.7,28.000000,Minus,FM,PI6HVN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1137,29.64,29.54,0.100000,Minus,FM,PI6NLT,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1138,1298.425,1270.425,28.000000,Minus,FM,PI6NOG,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1139,1298.375,1270.375,28.000000,Minus,FM,PI6NOS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1140,1298.625,1270.625,28.000000,Minus,FM,PI6RTD,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1141,1242.35,1270.35,28.000000,Plus,FM,PI6SHB,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1142,29.69,29.59,0.100000,Minus,FM,PI6TEN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1143,145.675,145.075,0.600000,Minus,FM,RR2F,On,Tone,186.2 Hz,186.2 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1144,145.7125,145.1125,0.600000,Minus,FM,RR2F2,On,Tone,118.8 Hz,118.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1145,145.1125,145.7125,0.600000,Plus,FM,RR2FE,On,Tone,118.8 Hz,118.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1146,438.825,430.725,8.100000,Minus,FM,S55DBC,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1147,439.25,431.65,7.600000,Minus,FM,S55DGO,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1148,438.275,430.675,7.600000,Minus,FM,S55DHF,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1149,439.3,431.7,7.600000,Minus,FM,S55DKN,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1150,438.7,431.1,7.600000,Minus,FM,S55DKP,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1151,438.5,430.9,7.600000,Minus,FM,S55DLM,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1152,439.075,431.475,7.600000,Minus,FM,S55DMR,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1153,439.075,431.475,7.600000,Minus,FM,S55DMR,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1154,438.35,430.75,7.600000,Minus,FM,S55DMX,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1155,438.225,430.625,7.600000,Minus,FM,S55DPI,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1156,438.35,430.75,7.600000,Minus,FM,S55DRI,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1157,438.5,430.9,7.600000,Minus,FM,S55DSN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1158,439.175,431.575,7.600000,Minus,FM,S55DTR,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1159,438.3,430.7,7.600000,Minus,FM,S55DZA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1160,438.825,431.225, ,Split,FM,S55UBC,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1161,438.6,431, ,Split,FM,S55UBK,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1162,439.025,431.425,7.600000,Minus,FM,S55UBO,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1163,439.025,431.425,7.600000,Minus,FM,S55UBO,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1164,438.725,431.125,7.600000,Minus,FM,S55UBR,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1165,438.95,431.35,7.600000,Minus,FM,S55UCE,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1166,438.75,431.15,7.600000,Minus,FM,S55UGO,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1167,438.75,431.15,7.600000,Minus,FM,S55UGO,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1168,439.125,431.525,7.600000,Minus,FM,S55UHF,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1169,438.7,431.1,7.600000,Minus,FM,S55UIB,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1170,439.225,431.625,7.600000,Minus,FM,S55UID,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1171,439.325,431.725,7.600000,Minus,FM,S55UJE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1172,439.2,431.6,7.600000,Minus,FM,S55UKK,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1173,439.15,431.55,7.600000,Minus,FM,S55UKO,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1174,438.7,431.1,7.600000,Minus,FM,S55UKP,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1175,438.925,431.325,7.600000,Minus,FM,S55UKR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1176,438.675,431.075,7.600000,Minus,FM,S55UKV,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1177,438.875,431.275, ,Split,FM,S55ULJ,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1178,438.775,431.175,7.600000,Minus,FM,S55ULX,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1179,439.225,431.625,7.600000,Minus,FM,S55UMB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1180,439.2,431.6,7.600000,Minus,FM,S55UMX,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1181,438.8,431.2,7.600000,Minus,FM,S55UPI,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1182,438.825,431.225, ,Split,FM,S55UPO,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1183,439.375,431.775,7.600000,Minus,FM,S55URK,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1184,439.325,431.725, ,Split,FM,S55URS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1185,438.625,431.025,7.600000,Minus,FM,S55USC,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1186,439,431.4,7.600000,Minus,FM,S55USE,On,None,88.5 Hz,123.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1187,438.875,431.275,7.600000,Minus,FM,S55USG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1188,438.9,431.3,7.600000,Minus,FM,S55USX,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1189,438.725,431.125,7.600000,Minus,FM,S55UTB,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1190,438.725,431.125,7.600000,Minus,FM,S55UTB,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1191,439.175,431.575,7.600000,Minus,FM,S55UTR,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1192,439.275,431.675,7.600000,Minus,FM,S55UZA,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1193,438.55,430.95,7.600000,Minus,FM,S55UZV,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
1194,145.65,145.05,0.600000,Minus,FM,S55VBG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
